	Old	New
RCRTC(ilbc.cb_search.o)	2544	2544
GoogleSignIn(GIDSignInInternalOptions.o)	2537	2537
RCRTC(v3_pci.o)	2533	2533
RCRTC(ec2_oct.o)	2530	2530
RCRTC(libvpx.vp9_quantize.o)	2528	2528
RCRTC(RCNSString.o)	2526	2526
RCRTC(libsrtp.crypto_kernel.o)	2525	2525
RCRTC(webrtc.bitrate_allocator.o)	2524	2524
RCRTC(rtc_p2p.portallocator.o)	2514	2514
RCRTC(neteq.time_stretch.o)	2507	2507
RCRTC(rtc_base.networkmonitor.o)	2504	2504
RCRTC(evsub_msg.o)	2498	2498
RCRTC(cfb64ede.o)	2496	2496
RCRTC(libvpx.vp9_reconinter.o)	2492	2492
Bugsee(BGSRootViewController.o)	2485	2485
RCRTC(libvpx.intrapred_neon.o)	2480	2480
RCRTC(rtc_base_approved.bitbuffer.o)	2479	2479
RCRTC(webrtc_video_coding.codec_timer.o)	2468	2468
RCRTC(pmeth_lib.o)	2467	2467
RCRTC(rtc_base.base64.o)	2465	2465
RCRTC(libyuv.scale_any.o)	2464	2464
GlipIContactExtension.o	2462	2462
RCRTC(common_audio.resample_by_2_internal.o)	2456	2456
RCRTC(opus.find_LTP_FIX.o)	2456	2456
RCRTC(audio_processing.echo_control_mobile.o)	2452	2452
RCRTC(libvpx.mfqe.o)	2452	2452
RCRTC(config.o)	2449	2449
RCRTC(rtp_rtcp.fir.o)	2446	2446
RCRTC(dso_lib.o)	2446	2446
RCRTC(rtp_rtcp.rtp_header_extension.o)	2444	2444
RCRTC(pem_err.o)	2441	2441
RCRTC(common_video.incoming_video_stream.o)	2441	2441
RCRTC(webrtc_video_coding.video_coding_impl.o)	2440	2440
RCRTC(libvpx.bilinearpredict_neon.o)	2436	2436
RCRTC(rtc_base_approved.bytebuffer.o)	2432	2432
RCRTC(rtp_rtcp.rpsi.o)	2429	2429
RCRTC(video_processing.deflickering.o)	2427	2427
LoginCommon.o	2423	2423
RCRTC(ui_openssl.o)	2420	2420
RCRTC(webrtc.vie_sync_module.o)	2413	2413
Bugsee(PLCrashAsyncDwarfCIE.o)	2412	2412
RCRTC(RCCheck.o)	2398	2398
RCRTC(libvpx.variance_neon.o)	2396	2396
RCRTC(cms_kari.o)	2375	2375
RCRTC(rc4_enc.o)	2368	2368
RCRTC(voice_engine.voe_external_media_impl.o)	2362	2362
RCRTC(opus.stereo_LR_to_MS.o)	2360	2360
RCRTC(cms_pwri.o)	2359	2359
RCRTC(system_wrappers.event_timer_posix.o)	2356	2356
HRBrightnessCursor.o	2355	2347
RCRTC(libjingle_peerconnection.videotracksource.o)	2346	2346
Bugsee(BGSReportControllerCell.o)	2341	2341
RCRTC(by_dir.o)	2332	2332
Bugsee(PLCrashReportSystemInfo.o)	2330	2330
RCRTC(RCOnce.o)	2328	2328
RCRTC(v3_sxnet.o)	2325	2325
RCRTC(voice_engine.dtmf_inband.o)	2325	2325
RCRTC(libyuv.scale_neon64.o)	2320	2320
RCRTC(dso_err.o)	2301	2301
RCRTC(opus.decode_core.o)	2296	2296
HRColorCursor.o	2292	2292
RCRTC(libvpx.picklpf.o)	2284	2284
RCRTC(pem_pkey.o)	2279	2279
RCRTC(RCIfRespondsProxy.o)	2271	2271
RCRTC(libvpx.onyxd_if.o)	2268	2268
RCRTC(ilbc.do_plc.o)	2268	2268
RCRTC(x509_trs.o)	2266	2266
RCRTC(rtp_rtcp.rtcp_receiver_help.o)	2260	2260
RCRTC(lhash.o)	2258	2258
r_email_type.o	2251	2251
RCRTC(RCCasting.o)	2248	2248
RCRTC(rtc_base.messagedigest.o)	2242	2242
RCRTC(opus.repacketizer.o)	2240	2240
RCRTC(rtc_p2p.transportdescriptionfactory.o)	2236	2236
RCRTC(p5_crpt2.o)	2232	2232
RCRTC(a_mbstr.o)	2228	2228
RCRTC(eng_list.o)	2223	2223
RCRTC(pool_caching.o)	2209	2209
RCRTC(rtc_base.nethelpers.o)	2201	2201
RCRTC(dsa_ossl.o)	2194	2194
RCRTC(bio_enc.o)	2181	2181
RCRTC(rtc_media.videobroadcaster.o)	2180	2180
RCRTC(isac.pitch_filter.o)	2180	2180
RCRTC(webrtc_i420.i420.o)	2172	2172
Bugsee(DynamicLoader.o)	2172	2172
RCRTC(common_audio.resample.o)	2170	2170
RCRTC(opus.control_codec.o)	2160	2160
RCRTC(cfb_enc.o)	2156	2156
RCRTC(rsa_pss.o)	2154	2154
RCRTC(e_des.o)	2144	2144
RCRTC(paced_sender.bitrate_prober.o)	2142	2142
HumanReadableStringExtension.o	2141	2141
RCRTC(libvpx.idct8x8_add_neon.o)	2140	2140
RCRTC(video_processing.video_denoiser.o)	2140	2140
RCRTC(libvpx.vp9_ethread.o)	2120	2120
GoogleSignIn(GIDScopes.o)	2115	2115
Bugsee(PLCrashReportProcessInfo.o)	2115	2115
RCRTC(dso_dlfcn.o)	2112	2112
RCRTC(pem_info.o)	2109	2109
RCRTC(rtp_rtcp.bye.o)	2103	2103
RCRTC(webrtc_vp8.default_temporal_layers.o)	2102	2102
RCRTC(o_names.o)	2098	2098
RCRTC(webrtc_video_coding.decoding_state.o)	2096	2096
RCRTC(e_rc2.o)	2092	2092
RCRTC(bio_err.o)	2089	2089
Bugsee(PLCrashReportBinaryImageInfo.o)	2087	2087
Bugsee(BGSCXXException.o)	2086	2086
Bugsee(BGSNavigationItem.o)	2083	2075
RCRTC(cmac.o)	2079	2079
RCRTC(isac.filterbanks.o)	2076	2076
RCRTC(bio_asn1.o)	2072	2072
RCRTC(opus.shell_coder.o)	2060	2060
Bugsee(BGSBluetooth.o)	2054	2054
RCRTC(encode.o)	2048	2048
GlipPhoneParserWrapper.o	2044	2044
RCRTC(bn_err.o)	2043	2043
RCRTC(paced_sender.packet_router.o)	2040	2040
RCRTC(libjingle_peerconnection.mediacontroller.o)	2037	2037
RCRTC(v3_ocsp.o)	2035	2035
RCRTC(neteq.dsp_helper.o)	2030	2030
Bugsee(BGSStreamData.o)	2026	2026
RCRTC(libvpx.vp9_noise_estimate.o)	2016	2016
Crittercism(CROrientationMonitor.o)	2011	2011
RCRTC(isac.filter_functions.o)	2008	2008
RCRTC(rtp_rtcp.dlrr.o)	2006	2006
RCRTC(audio_processing.voice_detection_impl.o)	2004	2004
Bugsee(BGSTheme.o)	1995	1995
RCRTC(ilbc.unpack_bits.o)	1992	1992
RCRTC(libvpx.vp8_loopfilter_neon.o)	1992	1992
RCRTC(rtp_rtcp.tmmbr.o)	1991	1991
HRColorUtil.o	1988	1988
RCRTC(neteq.background_noise.o)	1983	1983
RCRTC(libyuv.compare.o)	1980	1980
RCRTC(video_coding_utility.vp8_header_parser.o)	1979	1979
RCRTC(ilbc.pack_bits.o)	1968	1968
RCRTC(sip_resolve.o)	1967	1967
GlipUIChatState.o	1958	1958
RCRTC(neteq.dtmf_tone_generator.o)	1953	1953
RCRTC(digest.o)	1949	1949
RCRTC(a_gentm.o)	1948	1948
RCRTC(a_strnid.o)	1947	1947
RCRTC(common_video.i420_buffer_pool.o)	1944	1944
RCRTC(dh_rfc5114.o)	1944	1944
RCRTC(v3_scts.o)	1939	1939
RCRTC(opus.entenc.o)	1936	1936
RCRTC(libvpx.vp9_pred_common.o)	1932	1932
RCRTC(libvpx.filter.o)	1928	1928
RCRTC(opus.opus.o)	1928	1928
RCRTC(opus.mdct.o)	1924	1924
RCRTC(a_utctm.o)	1924	1924
RCRTC(libsrtp.cipher.o)	1915	1915
RCRTC(bn_sqrt.o)	1914	1914
RCRTC(dsa_asn1.o)	1914	1914
Bugsee(PLCrashProcessInfo.o)	1912	1912
RCRTC(audio_processing.histogram.o)	1912	1912
RCRTC(p12_asn.o)	1911	1911
RCRTC(v3_genn.o)	1911	1911
RCRTC(pk12err.o)	1910	1910
RCRTC(v3_prn.o)	1910	1910
RCRTC(x_x509.o)	1909	1909
RCRTC(eng_ctrl.o)	1903	1903
RCRTC(rtc_base_approved.ratetracker.o)	1903	1903
RCRTC(c_allc.o)	1901	1901
RCRTC(isac.encode_lpc_swb.o)	1900	1900
RCRTC(rtc_media.rtputils.o)	1892	1892
PerformanceTracker.o	1889	1889
GlipDeviceRegionUtils.o	1885	1885
RCRTC(libvpx.vpx_encoder.o)	1884	1884
RCRTC(ocsp_err.o)	1881	1881
RCRTC(common_audio.sinc_resampler.o)	1865	1865
RCRTC(remote_bitrate_estimator.overuse_estimator.o)	1862	1862
RCRTC(dsa_pmeth.o)	1862	1862
RCRTC(hmac.o)	1862	1862
RCRTC(neteq.normal.o)	1860	1860
RCRTC(RCLocation.o)	1854	1854
RCRTC(cfb128.o)	1848	1848
RCRTC(bss_file.o)	1839	1839
RCRTC(opus.VAD.o)	1832	1832
RCRTC(isac.lattice.o)	1832	1832
RCRTC(rtc_media.videocommon.o)	1827	1827
RCRTC(ameth_lib.o)	1820	1820
RCRTC(evp_pbe.o)	1817	1817
RCRTC(webrtc_video_coding.bitrate_adjuster.o)	1816	1816
RCRTC(remote_bitrate_estimator.send_time_history.o)	1815	1815
RCRTC(libvpx.mr_dissim.o)	1812	1812
RCRTC(bn_exp2.o)	1810	1810
RCRTC(rc2_cbc.o)	1808	1808
Bugsee(BGSVersionCell.o)	1802	1802
RCRTC(libvpx.entropymode.o)	1800	1800
RCRTC(isac.decode.o)	1800	1800
RCRTC(libvpx.loopfilter_8_neon.o)	1800	1800
RCRTC(rtp_rtcp.vp8_partition_aggregator.o)	1800	1800
Bugsee(BGSScreenshotAttachment.o)	1793	1793
CYRToken.o	1793	1793
RCRTC(webrtc_video_coding.encoded_frame.o)	1792	1792
RCRTC(d1_srtp.o)	1792	1792
RCRTC(rtp_rtcp.sli.o)	1780	1780
RCRTC(hash.o)	1779	1779
RCRTC(audio_processing.nsx_core_c.o)	1778	1778
RCRTC(ilbc.encode.o)	1776	1776
RCRTC(webrtc.video_capture_input.o)	1774	1774
RCRTC(libvpx.vp9_context_tree.o)	1773	1773
RCRTC(video_coding_utility.quality_scaler.o)	1768	1768
Bugsee(BGSFileInZipInfo.o)	1763	1763
RCRTC(rtc_pc.rtcpmuxfilter.o)	1760	1760
RCRTC(bn_mod.o)	1749	1749
RCRTC(system_wrappers.timestamp_extrapolator.o)	1748	1748
RCRTC(rsa_sign.o)	1739	1739
RCRTC(common_audio.wav_header.o)	1734	1734
RCRTC(audio_coding_module.codec_manager.o)	1730	1730
RCRTC(rtc_base.sslfingerprint.o)	1730	1730
RCRTC(pool.o)	1729	1729
RCRTC(ilbc.smooth.o)	1728	1728
RCRTC(bn_blind.o)	1727	1727
RCRTC(voice_engine.channel_proxy.o)	1725	1725
RCRTC(opus.mlp_data.o)	1724	1724
task_id.o	1722	1722
RCRTC(system_wrappers.clock.o)	1722	1722
RCRTC(ssl_sock_common.o)	1720	1720
RCRTC(webrtc_video_coding.percentile_filter.o)	1718	1718
RCRTC(p5_pbev2.o)	1704	1704
RCRTC(wp_dgst.o)	1700	1700
RCRTC(opus.CNG.o)	1692	1692
RCRTC(opus.resampler_private_down_FIR.o)	1688	1688
RCRTC(rtp_rtcp.packet_loss_stats.o)	1688	1688
Bugsee(PLCrashLogWriterEncoding.o)	1688	1688
RCRTC(isac.pitch_gain_tables.o)	1680	1680
Bugsee(PLCrashAsyncSignalInfo.o)	1671	1671
RCRTC(rtc_base.logsinks.o)	1670	1670
RCRTC(RCElapsedTimeLogger.o)	1670	1670
RCRTC(audio_processing.voice_activity_detector.o)	1660	1660
RCRTC(bn_ctx.o)	1653	1653
RCRTC(tasn_new.o)	1651	1651
RCRTC(webrtc.stream_synchronization.o)	1649	1649
RCRTC(rtp_rtcp.h264_sps_parser.o)	1647	1647
RCRTC(RCElapsedTimeTracker.o)	1647	1647
RCRTC(b_dump.o)	1643	1643
RCRTC(neteq.neteq.o)	1642	1642
Bugsee(PLCrashAsync.o)	1641	1641
RCRTC(neteq.comfort_noise.o)	1631	1631
RCRTC(a_sign.o)	1629	1629
RCRTC(RCNSArray.o)	1625	1625
RCRTC(video_processing.content_analysis.o)	1624	1624
RCRTC(audio_device.fine_audio_buffer.o)	1620	1620
RCRTC(t1_ext.o)	1620	1620
GoogleSignIn(GIDCallbackQueue.o)	1617	1617
RCRTC(libvpx.vpx_convolve.o)	1616	1616
RCRTC(webrtc.vie_remb.o)	1613	1613
RCRTC(rtc_base.cryptstring.o)	1613	1613
RCRTC(v3_info.o)	1611	1611
RCRTC(opus.NLSF_del_dec_quant.o)	1604	1604
RCRTC(v3_bitst.o)	1603	1603
RCRTC(obj_xref.o)	1603	1603
Crittercism(CRAppPlaceholder.o)	1602	1610
RCRTC(evp_key.o)	1598	1598
RCRTC(call_param_key.o)	1584	1584
GlipIOSThreadUtil.o	1575	1575
RCRTC(libsrtp.stat.o)	1574	1574
RCRTC(audio_processing.delay_estimator_wrapper.o)	1572	1572
RCRTC(libvpx.boolhuff.o)	1571	1571
RCRTC(tasn_fre.o)	1564	1564
RCRTC(a_d2i_fp.o)	1563	1563
Bugsee(PLCrashReportMachineInfo.o)	1555	1555
RCRTC(common_audio.window_generator.o)	1552	1552
RCRTC(cms_enc.o)	1550	1550
RCRTC(a_bytes.o)	1542	1542
RCRTC(p12_add.o)	1534	1534
RCRTC(rtp_rtcp.receiver_report.o)	1523	1523
RCRTC(by_file.o)	1521	1521
RCRTC(isac.lpc_shape_swb16_tables.o)	1520	1520
Bugsee(PLCrashHostInfo.o)	1520	1520
Bugsee(inffast.o)	1520	1520
RCRTC(opus.celt.o)	1519	1519
RCRTC(bn_div.o)	1517	1517
RCRTC(except.o)	1515	1515
RCRTC(libvpx.vp9_idct.o)	1512	1512
RCRTC(libvpx.detokenize.o)	1508	1508
RCRTC(RCNullForNil.o)	1505	1505
RCRTC(xcbc_enc.o)	1504	1504
RCRTC(common_audio.blocker.o)	1502	1502
RCRTC(common_audio.levinson_durbin.o)	1500	1500
RCRTC(evp_lib.o)	1496	1496
RCRTC(eng_table.o)	1488	1488
RCRTC(common_video.corevideo_frame_buffer.o)	1484	1484
RCRTC(p12_key.o)	1482	1482
RCRTC(rtc_base.openssldigest.o)	1482	1482
RCRTC(o_time.o)	1480	1480
RCRTC(neteq.decision_logic_normal.o)	1479	1479
Bugsee(BGSSessionConfig.o)	1474	1474
RCRTC(rtp_rtcp.compound_packet.o)	1471	1471
RCRTC(rtp_rtcp.rtp_receiver_video.o)	1470	1470
RCRTC(x509_v3.o)	1470	1470
RCRTC(libvpx.vp9_dsubexp.o)	1467	1467
RCRTC(x509_req.o)	1459	1459
RCRTC(libvpx.vp9_aq_complexity.o)	1456	1456
RCRTC(ecp_mont.o)	1455	1455
RCRTC(rsa_asn1.o)	1452	1452
RCRTC(rsa_lib.o)	1450	1450
oc_crash_producer.o	1435	1435
Bugsee(PLCrashReportApplicationInfo.o)	1434	1434
RCRTC(libvpx.vpx_image.o)	1428	1428
RCRTC(voice_engine.utility.o)	1426	1426
RCRTC(libvpx.findnearmv.o)	1424	1424
RCRTC(libvpx.quantize.o)	1420	1420
RCRTC(ctr128.o)	1416	1416
RCRTC(rtc_base_approved.criticalsection.o)	1416	1416
RCRTC(remote_bitrate_estimator.overuse_detector.o)	1415	1415
RCRTC(a_set.o)	1412	1412
RCRTC(x_x509a.o)	1412	1412
palobjc.o	1408	1408
Bugsee(BGSBarButtonItem.o)	1408	1408
Crittercism(CRErrorBarrier.o)	1398	1398
Bugsee(PLCrashReportThreadInfo.o)	1395	1395
HRCgUtil.o	1393	1393
RCRTC(dsa_err.o)	1388	1388
RCRTC(rtp_rtcp.rtcp_packet.o)	1387	1387
RCRTC(ilbc.ilbc.o)	1386	1386
RCRTC(rsa_gen.o)	1378	1378
RCRTC(bss_mem.o)	1376	1376
RCRTC(dh_key.o)	1375	1375
Bugsee(inftrees.o)	1368	1368
GoogleSignIn(GIDSignInStrings.o)	1358	1358
RCRTC(common_audio.splitting_filter.o)	1356	1356
Bugsee(PLCrashReportExceptionInfo.o)	1354	1354
RCRTC(bn_recp.o)	1354	1354
RCRTC(neteq.sync_buffer.o)	1354	1354
RCRTC(opus.encode_pulses.o)	1352	1352
RCRTC(audio_processing.high_pass_filter_impl.o)	1346	1346
RCRTC(libvpx.loopfiltersimpleverticaledge_neon.o)	1344	1344
RCRTC(conf_err.o)	1339	1339
RCRTC(RCIfRespondsWithFallbackObjectProxy.o)	1333	1333
RCRTC(opus.mlp.o)	1332	1332
RCRTC(hm_pmeth.o)	1330	1330
RCRTC(libvpx.vpx_convolve8_avg_neon.o)	1328	1328
RCRTC(rtc_base_approved.platform_thread.o)	1328	1328
Bugsee(BGSZipException.o)	1327	1327
RCRTC(isac.spectrum_ar_model_tables.o)	1326	1326
Bugsee(BugseeConstants.o)	1325	1325
RCRTC(tb_asnmth.o)	1320	1320
RCRTC(libvpx.yv12config.o)	1320	1320
RCRTC(opus.find_pred_coefs_FIX.o)	1320	1320
RCRTC(a_utf8.o)	1316	1316
RCRTC(rtc_base_approved.event.o)	1306	1306
RCRTC(libvpx.quant_common.o)	1304	1304
RCRTC(bn_sqr.o)	1300	1300
RCRTC(ecs_lib.o)	1296	1296
RCRTC(bn_shift.o)	1295	1295
RCRTC(addr_resolv_sock.o)	1295	1295
Bugsee(AsyncAllocator.o)	1292	1292
RCRTC(e_idea.o)	1292	1292
Crittercism(CRSwizzleUtils.o)	1288	1288
RCRTC(RCInvocationAssignmentRecorder.o)	1287	1287
RCRTC(opus.NLSF2A.o)	1286	1286
RCRTC(rtc_pc.mediamonitor.o)	1284	1284
RCRTC(rtc_base.macifaddrs_converter.o)	1280	1280
RCRTC(libvpx.denoising_neon.o)	1276	1276
RCRTC(opus.resampler.o)	1274	1274
RCRTC(f_int.o)	1273	1273
RCRTC(a_bitstr.o)	1271	1271
RCRTC(conf_api.o)	1262	1262
RCRTC(rtp_rtcp.rtp_format_video_generic.o)	1258	1258
RCRTC(bn_rand.o)	1258	1258
Bugsee(PLCrashAsyncMObject.o)	1252	1252
Crittercism(CRSetting.o)	1250	1250
DispatchQueueExtension.o	1250	1250
libodb.o(session.o)	1249	1249
RCRTC(dh_err.o)	1246	1246
RCRTC(common_audio.push_sinc_resampler.o)	1246	1246
RCRTC(RCTargetSelectorInvocationRecorderProxy.o)	1244	1244
libodb-sqlite.o(transaction-impl.o)	1244	1244
RCRTC(RTCCallParamKey.o)	1244	1244
Bugsee(BGSSymbolicate.o)	1242	1242
RCRTC(bio_md.o)	1239	1239
RCRTC(m_sigver.o)	1235	1235
RCRTC(dsa_lib.o)	1230	1230
RCRTC(bn_add.o)	1229	1229
RCRTC(neteq.decision_logic.o)	1225	1225
RCRTC(bss_sock.o)	1223	1223
RCRTC(ilbc.decode.o)	1220	1220
RCRTC(opus.solve_LS_FIX.o)	1212	1212
RCRTC(rtp_rtcp.report_block.o)	1210	1210
RCRTC(opus.prefilter_FIX.o)	1208	1208
Bugsee(BGSVideoAttributes.o)	1205	1205
RCRTC(pmeth_gn.o)	1203	1203
RCRTC(a_time.o)	1201	1201
RCRTC(libvpx.vp9_picklpf.o)	1200	1200
RCRTC(remote_bitrate_estimator.inter_arrival.o)	1198	1198
RCRTC(e_cast.o)	1196	1196
RCRTC(e_bf.o)	1196	1196
RCRTC(libvpx.vp9_quant_common.o)	1192	1192
RCRTC(system_wrappers.logging.o)	1191	1191
RCRTC(common_audio.vad.o)	1191	1191
Crittercism(CRRequestToEntityMapping.o)	1184	1184
RCRTC(rtp_rtcp.remote_ntp_time_estimator.o)	1180	1180
RCRTC(rand_lib.o)	1180	1180
RCRTC(dh_asn1.o)	1179	1179
RCRTC(webrtc_utility.coder.o)	1178	1178
RCRTC(video_processing.denoiser_filter_c.o)	1178	1178
RCRTC(e_seed.o)	1176	1176
RCRTC(e_rc4_hmac_md5.o)	1172	1172
RCRTC(common_audio.randomization_functions.o)	1172	1172
Bugsee(PLCrashReportSymbolInfo.o)	1169	1169
RCRTC(libvpx.vp9_blockd.o)	1168	1168
RCRTC(rtc_media.videosourcebase.o)	1165	1165
RCRTC(v3_akey.o)	1163	1163
RCRTC(f_string.o)	1157	1157
RCRTC(opus.mathops.o)	1156	1156
RCRTC(libvpx.yv12extend.o)	1156	1156
RCRTC(cbc128.o)	1156	1156
RCRTC(x509_obj.o)	1153	1153
RCRTC(rtc_media.videoframefactory.o)	1153	1153
Bugsee(PLCrashAsyncDwarfFDE.o)	1152	1152
Bugsee(PLCrashReportSignalInfo.o)	1148	1148
RCRTC(opus.corrMatrix_FIX.o)	1148	1148
RCRTC(rtc_base.crc32.o)	1144	1144
RCRTC(isac.lpc_gain_swb_tables.o)	1144	1144
RCRTC(libvpx.vpx_convolve8_neon.o)	1144	1144
RCRTC(libvpx.extend.o)	1144	1144
RCUIRefreshDefines.o	1143	1143
RCRTC(webrtc.payload_router.o)	1140	1140
RCRTC(video_processing.frame_preprocessor.o)	1140	1140
RCRTC(voice_engine.shared_data.o)	1137	1137
RCRTC(v3_ia5.o)	1137	1137
RCRTC(ecp_nist.o)	1135	1135
RCRTC(cm_pmeth.o)	1134	1134
RCRTC(rsa_pk1.o)	1134	1134
RCRTC(a_verify.o)	1131	1131
RCRTC(opus.NLSF_encode.o)	1128	1128
RCRTC(audio_processing.vad_circular_buffer.o)	1128	1128
RCRTC(RCNonRetainedObjectProxy.o)	1124	1124
RCRTC(rtc_base.urlencode.o)	1119	1119
GoogleSignIn(GIDTokenFetchDelegate.o)	1118	1118
RCRTC(v3_pmaps.o)	1117	1117
RCRTC(webrtc.report_block_stats.o)	1108	1108
RCRTC(isac.crc.o)	1108	1108
GoogleSignIn(GIDSignInWebViewURLProtocol.o)	1106	1106
Bugsee(PLCrashFrameDWARFUnwind.o)	1104	1104
RCRTC(opus.tables_NLSF_CB_WB.o)	1104	1104
RCRTC(rtc_base_approved.systeminfo.o)	1100	1100
RCRTC(voice_engine.voe_neteq_stats_impl.o)	1099	1099
RCRTC(RCObjectAndSelector.o)	1099	1099
Bugsee(BGSButton.o)	1097	1097
RCRTC(opus.stereo_find_predictor.o)	1096	1096
RCRTC(libyuv.rotate_neon64.o)	1096	1096
RCRTC(libvpx.vp9_lookahead.o)	1092	1092
RCRTC(audio_processing.gain_control_for_experimental_agc.o)	1091	1091
RCRTC(t1_reneg.o)	1089	1089
RCRTC(libvpx.vp9_extend.o)	1088	1088
RCRTC(asn_pack.o)	1075	1075
RCRTC(libvpx.vp9_alloccommon.o)	1072	1072
RCRTC(RTCLocalResourceImpl.o)	1070	1070
Bugsee(PLCrashReportStackFrameInfo.o)	1069	1069
Bugsee(adler32.o)	1060	1060
RCRTC(webrtc.encoder_state_feedback.o)	1058	1058
RCRTC(libvpx.vp9_filter.o)	1056	1056
RCRTC(webrtc_video_coding.rtt_filter.o)	1056	1056
RCRTC(pcy_cache.o)	1052	1052
RCRTC(ech_ossl.o)	1051	1051
RCRTC(opus.tables_pulses_per_block.o)	1049	1049
RCRTC(sip_util_statefull.o)	1044	1044
RCRTC(usrsctplib.sctp_callout.o)	1043	1043
RCRTC(evp_asn1.o)	1043	1043
RCRTC(eng_lib.o)	1042	1042
RCRTC(common_audio.vad_filterbank.o)	1040	1040
RCRTC(bn_word.o)	1036	1036
RCRTC(dh_check.o)	1036	1036
RCRTC(common_audio.real_fourier_ooura.o)	1034	1034
RCRTC(rtp_rtcp.bitrate.o)	1034	1034
Bugsee(PLCrashReporterConfig.o)	1033	1033
Bugsee(ioapi.o)	1029	1029
RCRTC(rtc_base_objc.RTCLogging.o)	1029	1029
RCRTC(libsrtp.hmac.o)	1027	1027
RCRTC(rtc_base.rtccertificate.o)	1023	1023
RCRTC(rand_unix.o)	1021	1021
Bugsee(PLCrashReportRegisterInfo.o)	1010	1010
RCRTC(libvpx.vpx_codec.o)	1010	1010
RCRTC(dh_lib.o)	1008	1008
RCRTC(opus.find_pitch_lags_FIX.o)	1004	1004
RCRTC(common_video.scaler.o)	1004	1004
RCRTC(isac.transform.o)	1004	1004
RCRTC(RCSimpleInvocationRecorder.o)	999	999
RCRTC(ip_helper_generic.o)	997	997
RCRTC(neteq.delay_peak_detector.o)	997	997
RCRTC(libvpx.subpel_variance_neon.o)	996	996
RCRTC(audio_processing.pole_zero_filter.o)	988	988
RCRTC(libvpx.vp9_aq_variance.o)	988	988
RCRTC(common_audio.resample_fractional.o)	988	988
RCRTC(opus.encode_indices.o)	984	984
GlipUIButtonExtension.o	981	981
GlipUISearchControllerExtension.o	975	975
RCRTC(opus.decode_indices.o)	972	972
RCRTC(rtp_rtcp.ssrc_database.o)	969	969
RCRTC(dh_kdf.o)	968	968
Bugsee(PLCrashFrameWalker.o)	965	965
RCRTC(p12_decr.o)	963	963
RCRTC(libvpx.sad4d_neon.o)	956	956
RCRTC(libvpx.lookahead.o)	956	956
RCRTC(libvpx.encodeintra.o)	948	948
RCRTC(libvpx.vpx_thread.o)	948	948
RCRTC(rtp_rtcp.pli.o)	948	948
RCRTC(eng_pkey.o)	947	947
RCRTC(bio_ndef.o)	947	947
libodb-sqlite.o(statement-cache.o)	946	946
Bugsee(PLCrashReportProcessorInfo.o)	936	936
RCRTC(p5_crpt.o)	934	934
Bugsee(PLCrashReportMachExceptionInfo.o)	933	933
RCRTC(rsa_crpt.o)	931	931
RCRTC(common_video.video_render_frames.o)	929	929
RCRTC(video_processing.video_decimator.o)	928	928
RCRTC(rtc_base_objc.RTCDispatcher.o)	926	926
GoogleSymbolUtilities(overload.o)	922	922
RCRTC(string.o)	921	4842
RCRTC(buffer.o)	921	921
ascii.o	921	921
GoogleSignIn(GIDSignInPreferences.o)	918	918
RCRTC(rtc_base.sslstreamadapter.o)	917	917
RCRTC(common_audio.complex_bit_reverse.o)	908	908
RCRTC(v3_pcons.o)	908	908
RCRTC(libvpx.vp9_iht4x4_add_neon.o)	900	900
RCRTC(sock_qos_common.o)	898	898
RCRTC(a_enum.o)	897	897
RCRTC(opus.entdec.o)	896	896
RCRTC(opus.process_gains_FIX.o)	896	896
RCRTC(audio_processing.wpd_tree.o)	896	896
RCRTC(video_processing_neon.denoiser_filter_neon.o)	894	894
RCRTC(webrtc_video_coding.histogram.o)	892	892
RCRTC(rtp_rtcp.rtp_header_parser.o)	891	891
RCRTC(common_audio_neon.downsample_fast_neon.o)	884	884
RCRTC(rtc_base_approved.timeutils.o)	884	884
RCRTC(evp_pkey.o)	881	881
RCRTC(audio_processing.intelligibility_utils.o)	880	880
RCRTC(v3_extku.o)	878	878
RCRTC(RTCErrorCode.o)	878	878
RCRTC(rtc_media.mediaconstants.o)	876	876
RCRTC(rtc_base.sigslot.o)	873	873
RCRTC(ec_print.o)	872	872
RCRTC(common_audio.ring_buffer.o)	872	872
RCRTC(tasn_utl.o)	867	867
RCRTC(rtc_media.webrtcvideoframefactory.o)	866	866
RCRTC(webrtc_video_coding.packet.o)	864	864
RCRTC(libvpx.idctllm.o)	864	864
RCRTC(pk7_attr.o)	863	863
RCRTC(eng_init.o)	863	863
AppDelegateModelViewController.o	858	858
RCRTC(mdc2dgst.o)	856	856
RCRTC(audio_processing.level_estimator_impl.o)	854	854
Bugsee(BGSTouchTracker.o)	852	852
RCRTC(libvpx.reconintra.o)	852	852
RCRTC(video_processing.spatial_resampler.o)	851	851
RCRTC(ech_lib.o)	851	851
NISDKAvailability.o	851	851
RCRTC(neteq.preemptive_expand.o)	851	851
RCRTC(libvpx.vp9_dthread.o)	849	849
RCRTC(buf_str.o)	842	842
RCRTC(x_algor.o)	842	842
RCRTC(voice_engine.level_indicator.o)	842	842
glip_id_type.o	840	840
RCRTC(t_x509a.o)	839	839
RCRTC(x_pkey.o)	837	837
RCRTC(common_audio.fir_filter.o)	836	836
RCRTC(DJIError.o)	831	831
RCRTC(opus.find_LPC_FIX.o)	824	824
RCRTC(opus.LPC_inv_pred_gain.o)	824	824
